Name,Mid X,Mid Y,Layer,Rotation
D1,427.95,427.55,Top,180
D3,446.2,437.4,Top,0
D4,446.25,432.3,Top,0
D7,515.45,470.05,Top,0
CONN1,437.8,531.63,Top,270
CONN8,566.5,535.88,Top,90
CONN4,526.7,434.33,Top,0
CONN5,547.8,428.23,Top,0
CONN2,456.55,442,Top,180
CONN9,565.75,462.55,Top,0
CONN10,565.4,444.32,Top,90
VR1,480,505.37,Top,0
J2,516.2,459.13,Top,0
J1,430.57,464.23,Top,270
IC10,533.7,444.7,Top,0
CONN3,523.8,556.7,Top,0
CONN7,564.4,556.7,Top,0
CONN6,555.15,510.5,Top,90
BUZ1,471.84,469.3,Top,0
C1,438.4,434.85,Top,0
C2,438.45,431.9,Top,0
C3,449.2,531.2,Top,0
C5,455.7,434.9,Top,0
C6,457.57,471.68,Top,0
C11,476.9,432.1,Top,0
C18,500.4,437.95,Top,180
C23,519,499.95,Top,0
C24,524.05,446.2,Top,180
C25,526.7,541.4,Top,0
C26,526.8,532.85,Top,0
C27,524.7,499.65,Top,0
C28,525.5,465.05,Top,0
C30,540,450,Top,180
C31,542.05,439.3,Top,0
C34,547.7,531.7,Top,0
C35,553.6,533,Top,0
C36,555.6,487.3,Top,0
C37,563.45,484.1,Top,180
C38,566.6,458.1,Top,0
C29,535.85,552.05,Top,0
C32,543.1,545.65,Top,270
C33,548.85,552.35,Top,0
C7,459.5,540.35,Top,0
C9,466.65,519.05,Top,180
C10,477.4,487.1,Top,180
C13,490.9,519.75,Top,0
C20,503.9,494.1,Top,0
C21,506.9,490.75,Top,0
C22,506.85,484.8,Top,0
BR1,453.75,512.7,Top,0
BR2,453.75,501.65,Top,0
BR3,453.65,490.9,Top,0
IC8,496,503.85,Top,0
LED1,509.5,525.15,Top,270
LED2,517.9,493.3,Top,90
IC5,465.7,543.9,Top,0
IC9,496.65,430.25,Top,0
J3,536.2,428.63,Top,0
TR1,483,492.35,Top,0
TR2,482.5,468.1,Top,90
TR3,540.1,525.4,Top,0
TR4,540.1,520.3,Top,0
TR5,540.1,515.1,Top,0
TR6,540.1,510.1,Top,0
TR7,540.2,504.9,Top,0
TR8,540.2,499.7,Top,0
TR9,570.7,492.5,Top,180
TR10,570.9,487.4,Top,180
TR11,442.55,427.6,Top,180
IC6,475.7,531.05,Top,0
L1,475.75,525.1,Top,0
IC1,443.1,485.95,Top,90
IC2,443.1,465.1,Top,90
IC3,444.9,445.8,Top,90
IC4,452.65,465.05,Top,90
R1,427.85,434.95,Top,180
R2,427.9,431.8,Top,180
R3,432.75,434.95,Top,0
R4,432.75,431.85,Top,0
R5,433.05,427.6,Top,180
R6,437.6,427.6,Top,180
R7,447.85,427.9,Top,180
R8,447.9,424.6,Top,0
R9,449.4,534.55,Top,0
R10,453.55,471.65,Top,0
R11,455.7,438,Top,180
R12,457.57,474.61,Top,0
R13,465.6,533.9,Top,0
R14,464.1,513.45,Top,0
R15,464.1,510.1,Top,0
R16,464,501.95,Top,0
R17,464.05,498.8,Top,0
R18,463.95,491,Top,0
R19,463.95,487.95,Top,0
R20,468.55,427.2,Top,90
R21,469.85,533.9,Top,180
R22,472.45,545.8,Top,0
R23,472.8,538.4,Top,0
R24,475.6,535.05,Top,0
R25,478.8,541.2,Top,0
R26,477.2,493.3,Top,0
R27,477.4,490.25,Top,0
R28,478.85,538.15,Top,0
R29,489.35,466.95,Top,0
R30,509.4,528.3,Top,0
R31,518.95,502.75,Top,180
R32,517.85,496.2,Top,0
R33,518.45,431.75,Top,180
R34,521.95,544.4,Top,0
R35,521.9,536.15,Top,0
R36,521.65,470.05,Top,0
R37,526.65,544.45,Top,180
R38,526.8,536.05,Top,180
R39,524.55,502.75,Top,180
R40,533.35,434.9,Top,0
R41,535.4,526.3,Top,0
R42,535.1,521.4,Top,0
R43,535.3,516,Top,0
R44,535.2,510.9,Top,0
R45,535.6,505.8,Top,0
R46,535.5,500.6,Top,0
R47,543.1,531.7,Top,0
R48,545.05,537.05,Top,180
R49,545.3,524.3,Top,180
R50,545.3,521.3,Top,180
R51,545.3,518.3,Top,180
R52,545.4,515.2,Top,180
R53,545.4,512.3,Top,180
R54,545.4,509.2,Top,180
R55,552.45,552.5,Top,90
R56,553.5,540.25,Top,0
R57,553.55,537.05,Top,0
R58,553,430.6,Top,0
R59,553.1,427.65,Top,0
R60,553.1,424.8,Top,0
R61,555.6,492.9,Top,0
