Designator,Mid X,Mid Y,Layer,Rotation
C1,459.95,437.02,Top,0
C10,453.95,500.7,Top,0
C11,454.05,465.2,Top,0
C12,454.5,447.65,Top,0
C13,470.75,432,Top,0
C14,457.57,471.68,Top,0
C15,459.5,540.35,Top,0
C16,462,509.4,Top,0
C17,462.2,498.15,Top,0
C18,466.9,498.15,Top,0
C19,461.9,447.95,Top,180
C2,460,433.75,Top,0
C20,476.95,439.3,Top,0
C21,452.9,526.35,Top,0
C22,468.1,447.9,Top,0
C23,467.3,443.8,Top,180
C24,467.3,440.9,Top,180
C25,472.8,440.75,Top,0
C27,465.7,554.8,Top,0
C28,511.63,435.25,Top,0
C29,488.6,448.85,Top,180
C3,444.6,452.85,Top,0
C30,487.75,531.3,Top,90
C31,490.9,519.75,Top,0
C32,490.3,459.34,Top,0
C33,490.45,455.9,Top,0
C34,491.95,531.2,Top,90
C35,492.85,445.65,Top,0
C36,502.8,439.6,Top,0
C37,498.5,552.25,Top,180
C38,496.25,531.2,Top,90
C39,497.45,445.65,Top,0
C4,449.2,531.2,Top,0
C40,499.65,480.3,Top,180
C41,505.68,485.25,Top,0
C43,502.25,445.75,Top,0
C44,546.63,444.5,Top,0
C45,513.85,472.9,Top,0
C46,510.63,528.1,Top,0
C47,505.7,528.05,Top,0
C48,524.2,516.1,Top,0
C49,515.1,484.85,Top,180
C5,449.2,520.8,Top,0
C50,519,499.95,Top,0
C51,521.15,478.25,Top,0
C52,520.15,473.45,Top,0
C53,524.35,484.45,Top,0
C54,524.05,446.2,Top,180
C55,486.5,466.85,Top,180
C56,524.15,524.15,Top,180
C57,524.7,499.65,Top,0
C58,524.8,464.65,Top,0
C59,528.9,488.35,Top,180
C6,449.3,511.2,Top,0
C60,534.5,468.1,Top,0
C61,548.85,554.4,Top,180
C62,541.15,481.4,Top,0
C63,500.85,531.15,Top,90
C64,542.7,439.3,Top,0
C65,477,432,Top,180
C66,538.25,549.7,Top,0
C67,547.7,531.7,Top,0
C68,553.6,533,Top,0
C69,555.6,487.3,Top,0
C7,451.9,548.1,Top,180
C70,559,473.55,Top,180
C71,471,494.9,Top,0
C72,486.1,508.35,Top,180
C73,462.55,512.5,Top,0
C74,497.45,439.65,Top,180
C75,492.85,439.7,Top,0
C76,468.25,513.2,Top,0
C77,468.25,510.05,Top,0
C78,488.9,439.7,Top,180
C79,467.55,437.7,Top,0
C8,452.56,482.78,Top,0
C80,472.85,437.7,Top,180
C81,478.45,450.2,Top,0
C82,483.95,498,Top,180
C83,473.95,448.9,Top,0
C84,448.65,507.65,Top,0
C85,448.6,503.25,Top,0
C86,487.05,489.5,Top,0
C87,563.45,484.1,Top,180
C88,566.6,458.1,Top,0
C89,568.41,476.45,Top,180
C9,454.8,531.6,Top,0
C90,454.15,493.25,Top,0
C91,535.55,553,Top,0
C92,513.75,442.88,Top,0
CONN1,437.8,531.63,Top,270
CONN10,565.4,444.32,Top,90
CONN2,456.55,442,Top,180
CONN3,523.8,550.75,Top,0
CONN4,526.75,434.36,Top,0
CONN5,547.8,428.23,Top,0
CONN6,555.15,510.5,Top,90
CONN7,566.08,539.65,Top,90
CONN8,543.13,542.29,Top,180
CONN9,565.75,462.55,Top,0
D1,427.95,427.55,Top,180
D2,441.7,514.8,Top,270
D3,442.75,437.25,Top,0
D4,442.8,432.15,Top,0
D5,482.1,529.75,Top,270
D6,485.65,561.3,Top,180
D7,489.65,495.1,Top,0
D8,543.35,489.15,Top,180
IC1,443.05,496.6,Top,270
IC10,478.7,445,Top,90
IC11,477.05,426.9,Top,90
IC12,502.25,430.2,Top,270
IC13,531.67,478.11,Top,270
IC14,533.55,444.2,Top,270
IC15,498.25,488.65,Top,270
IC16,524.05,520.55,Top,180
IC17,542.45,552.9,Top,180
IC2,443.1,485.95,Top,270
IC3,443.15,475.65,Top,270
IC4,443.1,465.1,Top,270
IC5,459.3,525.45,Top,270
IC6,444.9,445.8,Top,270
IC7,465.7,543.9,Top,270
IC9,476.12,504.61,Top,270
J1,430.57,464.23,Top,270
J2,478.3,483.88,Top,0
J3,516.2,459.13,Top,0
J4,536.2,428.63,Top,0
L1,466.85,494.9,Top,0
L2,471.7,529.6,Top,180
L3,482.3,551.1,Top,0
L4,519.95,471.4,Top,180
L5,524.75,467.15,Top,0
L6,488.3,486.5,Top,180
LED1,511.55,493.9,Top,90
LED2,515.2,493.8,Top,90
LED4,472.8,516.25,Top,180
Q1,442.55,427.6,Top,0
Q2,513.75,439.25,Top,90
R1,449.4,437.13,Top,180
R10,448.95,534.2,Top,0
R100,565.3,514.25,Top,0
R101,565.15,521,Top,0
R104,561.05,458.05,Top,0
R105,565.05,524.2,Top,0
R106,564.9,503.6,Top,0
R107,564.8,500.3,Top,0
R108,563.45,490.35,Top,0
R109,563.5,487.05,Top,0
R11,449.05,526.35,Top,0
R110,565.35,518.05,Top,0
R111,562.75,473.55,Top,180
R112,564.75,509.65,Top,0
R113,564.8,506.6,Top,0
R114,568.35,482.35,Top,180
R115,568.35,479.4,Top,0
R116,568.5,473.25,Top,0
R117,570.75,458.05,Top,0
R118,574.05,473.3,Top,0
R119,551.2,550.05,Top,180
R12,449.1,523.5,Top,0
R120,497.4,442.65,Top,0
R121,475.5,494.5,Top,0
R122,492.85,442.65,Top,0
R123,483.2,439.85,Top,0
R124,488.9,442.55,Top,0
R125,444.2,507.65,Top,0
R126,444.1,503.25,Top,0
R127,436.9,507.65,Top,180
R128,468.2,516.25,Top,0
R129,462.05,494.85,Top,0
R13,474.5,513.1,Top,0
R130,466.85,492.05,Top,180
R131,492,507.7,Top,180
R132,492,511.75,Top,180
R133,485.55,503.5,Top,180
R134,437.1,503.25,Top,180
R135,489.5,498.85,Top,0
R136,499.1,495.7,Top,0
R137,537.85,487.9,Top,0
R138,486.4,472.6,Top,180
R139,486.55,469.7,Top,0
R14,449.15,516.8,Top,180
R140,510.63,534.38,Top,180
R141,505.75,534.5,Top,180
R142,513.75,445.38,Top,0
R143,517.88,445.38,Top,180
R15,449.2,514,Top,0
R16,452.55,488.5,Top,0
R17,452.55,485.65,Top,0
R18,454.7,537.3,Top,0
R19,454.7,534.4,Top,0
R2,449.45,433.65,Top,180
R20,454.1,506.2,Top,0
R21,454,503.35,Top,0
R22,454,468.05,Top,0
R23,454.45,453.6,Top,180
R24,454.45,450.65,Top,0
R25,466.75,432,Top,180
R26,457.5,477.38,Top,0
R27,457.57,474.61,Top,0
R28,462.05,467.65,Top,0
R29,463.15,455.3,Top,0
R3,454.3,437.13,Top,0
R30,463.2,452.45,Top,180
R31,468.55,427.2,Top,90
R33,469.05,455.4,Top,180
R34,469,452.55,Top,0
R35,472.45,545.8,Top,0
R36,472.8,538.4,Top,0
R37,471.8,443.8,Top,0
R38,478.8,541.2,Top,0
R39,478.85,538.15,Top,0
R4,454.3,433.7,Top,0
R40,502.8,442.65,Top,0
R41,510.63,540.25,Top,180
R42,505.75,540.25,Top,180
R43,480.85,459.35,Top,180
R44,480.9,456.25,Top,180
R45,510.68,531.25,Top,180
R46,505.75,531.3,Top,180
R47,524.3,512.9,Top,0
R48,485.05,459.34,Top,0
R49,485.05,456.25,Top,0
R5,433.05,427.6,Top,180
R50,492.8,448.8,Top,0
