Name,Mid X,Mid Y,Layer,Rotation
D4,427.95,427.55,Top,180
D5,446.25,432.3,Top,0
D6,446.2,437.4,Top,0
CONN1,437.8,531.63,Top,270
CONN8,566.5,535.88,Top,90
CONN3,526.7,434.33,Top,0
CONN5,547.8,428.23,Top,0
CONN4,456.55,442,Top,180
CONN9,565.75,462.55,Top,0
CONN10,565.4,444.32,Top,90
J2,516.2,459.13,Top,0
J1,430.57,464.23,Top,270
IC7,533.7,444.7,Top,0
CONN2,523.8,556.7,Top,0
CONN7,564.4,556.7,Top,0
CONN6,555.15,510.5,Top,90
C1,449.2,531.2,Top,0
C2,449.2,520.8,Top,0
C3,449.3,511.2,Top,0
C5,452.56,482.78,Top,0
C6,467.3,443.8,Top,180
C7,467.3,440.9,Top,180
C8,454.8,531.6,Top,0
C9,500.4,437.95,Top,180
C10,453.95,500.7,Top,0
C11,454.05,465.2,Top,0
C12,454.5,447.65,Top,0
C13,457.57,471.68,Top,0
C27,490.3,459.34,Top,0
C28,490.45,455.9,Top,0
C29,488.6,446.45,Top,180
C30,492.85,443.25,Top,0
C33,497.45,443.25,Top,0
C34,502.25,443.35,Top,0
C36,513.25,444.6,Top,0
C37,513.85,472.9,Top,0
C38,515.1,484.85,Top,180
C39,519,499.95,Top,0
C45,524.05,446.2,Top,180
C46,526.7,541.4,Top,0
C47,526.8,532.85,Top,0
C48,524.7,499.65,Top,0
C49,524.65,464.85,Top,0
C54,540,450,Top,180
C55,542.05,439.3,Top,0
C57,547.7,531.7,Top,0
C59,553.6,533,Top,0
C60,555.6,487.3,Top,0
C61,563.45,484.1,Top,180
C62,566.6,458.1,Top,0
C63,568.41,476.45,Top,180
C64,455.7,434.9,Top,0
C65,438.4,434.85,Top,0
C66,438.45,431.9,Top,0
C67,559,473.55,Top,180
C68,476.9,432.1,Top,0
C52,535.85,552.05,Top,0
C56,548.85,552.35,Top,0
C58,552.65,552.35,Top,0
X3,525.05,494.16,Top,0
C14,459.5,540.35,Top,0
C17,466.65,519.05,Top,180
C19,444.6,452.85,Top,0
