Designator,Mid X,Mid Y,Layer,Rotation
CONN1,437.8,531.63,Top,270
CONN10,566.5,535.88,Top,90
CONN3,526.7,434.33,Top,0
CONN4,546.4,504.37,Top,180
CONN6,553.73,529.3,Top,270
CONN8,561.75,572.45,Top,180
CONN11,565.75,462.55,Top,0
CONN12,565.4,444.32,Top,90
J1,516.2,459.13,Top,0
CONN1B,438.88,494.85,Top,270
CONN1C,439.33,467.05,Top,270
CONN1D,439.48,439.5,Top,270
IC7,533.7,444.7,Top,0
CONN2,523.8,556.7,Top,0
CONN9,564.4,556.7,Top,0
CONN7,555.15,510.5,Top,90
C2,449.2,531.2,Top,0
C3,449.2,520.8,Top,0
C4,449.3,511.2,Top,0
C6,452.56,482.78,Top,0
C7,452.45,439.4,Top,180
C8,452.45,436.5,Top,180
C10,454.8,531.6,Top,0
C11,453.9,511.2,Top,0
C12,453.95,500.7,Top,0
C13,454.05,465.2,Top,0
C14,454.5,447.65,Top,0
C16,457.57,471.68,Top,0
C24,477.5,434.5,Top,0
C27,490.3,459.34,Top,0
C28,490.45,455.9,Top,0
C29,491.35,439.4,Top,180
C30,495.6,436.2,Top,0
C33,500.2,436.2,Top,0
C34,505,436.3,Top,0
C36,510.95,432.5,Top,0
C37,513.85,472.9,Top,0
C38,515.1,484.85,Top,180
C39,519,499.95,Top,0
C44,563.45,484.1,Top,180
C46,524.4,446.2,Top,180
C47,524.7,499.65,Top,0
C48,524.65,464.85,Top,0
C52,539.9,449.7,Top,180
C54,540.6,439.3,Top,0
C56,547.7,531.7,Top,0
C58,553.6,533,Top,0
C59,526.8,532.85,Top,0
C60,526.7,541.4,Top,0
C61,555.6,487.3,Top,0
C62,566.6,458.1,Top,0
C63,568.41,476.45,Top,180
C51,535.85,552.05,Top,0
C55,548.85,552.35,Top,0
C57,552.65,552.35,Top,0
X3,525.05,494.16,Top,0
C1,464.6,515.3,Top,0
C18,459.5,540.35,Top,0
C31,490.9,519.75,Top,0
C35,506.9,486.5,Top,0
C40,520.57,497.11,Top,0
C41,520.65,494.15,Top,0
C42,521.15,478.25,Top,0
C43,520.15,473.45,Top,0
C45,524.35,484.45,Top,0
C49,528.9,488.35,Top,180
C50,534.5,468.1,Top,0
C53,541.15,481.4,Top,0
LED1,511.55,493.9,Top,180
LED2,515.2,493.8,Top,180
LED3,525.6,429.05,Top,180
IC3,478.05,440,Top,180
IC1,477.98,524.94,Top,270
L3,519.95,471.4,Top,180
SWPROG1,557.99,466.55,Top,0
IC2,465.7,543.9,Top,0
J2,536.2,428.63,Top,0
TR1,540.1,525.4,Top,0
TR2,540.1,520.3,Top,0
TR3,540.1,515.1,Top,0
TR4,540.1,510.1,Top,0
TR5,540.2,504.9,Top,0
TR6,540.2,499.7,Top,0
TR7,547.8,427.7,Top,0
TR8,570.7,492.5,Top,180
TR9,570.9,487.4,Top,180
TR10,524.55,510.4,Top,0
R1,449,537.15,Top,0
R2,448.95,534.2,Top,0
R3,449.05,526.35,Top,0
R4,449.1,523.5,Top,0
R5,449.15,516.8,Top,180
R6,449.2,514,Top,0
R7,452.55,488.5,Top,0
R8,452.55,485.65,Top,0
R9,454.7,537.3,Top,0
R10,454.7,534.4,Top,0
R11,453.8,516.75,Top,180
R12,453.8,513.85,Top,0
R13,454.1,506.2,Top,0
R14,454,503.35,Top,0
R15,453.65,471.6,Top,0
R16,454,468.05,Top,0
R17,454.45,453.6,Top,180
R18,454.45,450.65,Top,0
R19,457.5,477.38,Top,0
R20,457.57,474.61,Top,0
R21,456.95,439.4,Top,0
R22,462.05,467.65,Top,0
R23,463.15,455.3,Top,0
R24,463.2,452.45,Top,180
R25,469.05,455.4,Top,180
R26,469,452.55,Top,0
R27,472.45,545.8,Top,0
R28,472.8,538.4,Top,0
R29,478.8,541.2,Top,0
R30,478.85,537.9,Top,0
R31,480.85,459.35,Top,180
R32,480.9,456.25,Top,180
R33,485.05,459.34,Top,0
R34,485.05,456.25,Top,0
R35,495.55,439.35,Top,0
R36,500.1,439.3,Top,0
R37,504.9,439.3,Top,0
R38,507.95,498.5,Top,0
R39,512.55,498.5,Top,0
R40,518.95,502.75,Top,180
R41,518.1,446.75,Top,180
R42,517.25,429.5,Top,0
R43,519.55,482.85,Top,0
R44,524.55,502.75,Top,180
R45,524.8,471.65,Top,0
R46,524.65,424.75,Top,180
R47,530.55,466.45,Top,180
R48,533.35,434.9,Top,0
R49,545.05,537.05,Top,180
R50,535.4,526.3,Top,0
R51,535.1,521.4,Top,0
R52,535.3,516,Top,0
R53,535.2,510.9,Top,0
R54,535.6,505.8,Top,0
R55,535.5,500.6,Top,0
R56,536.15,490.35,Top,180
R57,541.05,487.5,Top,0
R58,541,484.2,Top,0
R59,541.25,466.95,Top,180
R60,540.65,434.8,Top,0
R61,553.55,537.05,Top,0
R62,543.1,531.7,Top,0
R63,545.3,524.3,Top,180
R64,545.3,521.3,Top,180
R65,545.3,518.3,Top,180
R66,545.4,515.2,Top,180
R67,545.4,512.3,Top,180
R68,545.4,509.2,Top,180
R69,553.5,540.25,Top,0
R70,553,433.65,Top,0
R71,553,430.6,Top,0
R72,553.1,427.65,Top,0
R73,553.1,424.95,Top,0
R74,555.6,492.9,Top,0
R75,555.6,490.15,Top,0
R76,555.6,484.3,Top,180
R77,555.7,477.75,Top,180
R78,555.5,462.25,Top,0
R79,555.05,455.6,Top,0
R80,555.15,452.65,Top,0
R81,555.15,449.7,Top,0
R82,555.15,446.8,Top,0
R83,555.2,443.85,Top,0
R84,561.05,458.05,Top,0
R85,564.9,503.6,Top,0
R86,564.8,500.3,Top,0
R87,563.1,476.95,Top,0
R88,563.05,473.85,Top,0
R89,568.35,482.35,Top,180
R90,568.35,479.4,Top,0
R91,568.5,473.25,Top,0
R92,570.75,458.05,Top,0
R93,574.05,473.3,Top,0
R94,521.9,536.15,Top,0
R95,521.95,544.4,Top,0
R96,526.65,544.45,Top,180
R97,526.8,536.05,Top,180
R98,563.5,487.05,Top,0
R99,563.45,490.35,Top,0
R100,524.3,514.75,Top,0
PS1,542.3,552.25,Top,0
IC5,510.81,427.46,Top,270
D1,465.65,508.2,Top,270
D2,441.7,514.8,Top,270
D3,485.65,561.3,Top,180
IC6,531.67,478.11,Top,0
L2,482.3,551.1,Top,0
L1,476.35,509.3,Top,0
CONN5,548.13,453.33,Top,90
C9,469.95,495.15,Top,270
C15,474.15,495.05,Top,270
C19,478.45,495.05,Top,270
C21,482.7,495.05,Top,270
C32,499.65,480.3,Top,0
C20,461.9,447.95,Top,0
C22,468.1,447.9,Top,180
IC4,481.33,473.39,Top,180
C5,451.9,544.3,Top,0
C23,466.55,440.4,Top,180
C25,479.45,448.5,Top,0
C17,464.85,526.9,Top,0
C26,497.5,552.55,Top,0
X1,514.5,478.8,Top,270
X2,524.4,440.9,Top,270
LD1,507.1,480.4,Top,0
